To industry / sector,,"D01T02: Agriculture, hunting, forestry",D03: Fishing and aquaculture,"D05T06: Mining and quarrying, energy producing products","D07T08: Mining and quarrying, non-energy producing products",D09: Mining support service activities,"D10T12: Food products, beverages and tobacco","D13T15: Textiles, textile products, leather and footwear",D16: Wood and products of wood and cork,D17T18: Paper products and printing,D19: Coke and refined petroleum products,D20: Chemical and chemical products,"D21: Pharmaceuticals, medicinal chemical and botanical products",D22: Rubber and plastics products,D23: Other non-metallic mineral products,D24: Basic metals,D25: Fabricated metal products,"D26: Computer, electronic and optical equipment",D27: Electrical equipment,"D28: Machinery and equipment, nec","D29: Motor vehicles, trailers and semi-trailers",D30: Other transport equipment,D31T33: Manufacturing nec; repair and installation of machinery and equipment,"D35: Electricity, gas, steam and air conditioning supply","D36T39: Water supply; sewerage, waste management and remediation activities",D41T43: Construction,D45T47: Wholesale and retail trade; repair of motor vehicles,D49: Land transport and transport via pipelines,D50: Water transport,D51: Air transport,D52: Warehousing and support activities for transportation,D53: Postal and courier activities,D55T56: Accommodation and food service activities,"D58T60: Publishing, audiovisual and broadcasting activities",D61: Telecommunications,D62T63: IT and other information services,D64T66: Financial and insurance activities,D68: Real estate activities,"D69T75: Professional, scientific and technical activities",D77T82: Administrative and support services,D84: Public administration and defence; compulsory social security,D85: Education,D86T88: Human health and social work activities,"D90T93: Arts, entertainment and recreation",D94T96: Other service activities,D97T98: Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,HFCE: Final consumption expenditure of households,NPISH: Final consumption expenditure of non-profit institutions serving households,GGFC: Final consumption expenditure of general government,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),IMPO: Imports (cross border)
"TTL_01T02: Agriculture, hunting, forestry",,416 562.10,17 333.30,701.5,141.2,0.5,600 359.40,145 566.50,51 524.90,34 387.30,48,17 231.00,48 979.00,19 152.90,370.1,86.5,195.6,59.7,133.1,211.6,49.6,29.4,10 572.40,138.9,1 075.10,30 314.10,92.6,123,5.2,999.6,70.4,4.3,47 294.50,68.4,856.7,3.9,44.3,327.8,4 860.80,19 212.80,21.5,668.8,805.6,521.6,3 204.10,0,380 815.30,102.6,58 539.10,38 134.00,17 047.10,1 981.10,503.9,15 225.40,-73 657.20
TTL_03: Fishing and aquaculture,,868.7,20 075.70,0.4,2,0,72 792.70,446.6,353.7,378.2,2.5,1 003.40,66.5,16.4,11.1,6.7,0.3,1.2,0.4,16.9,5.3,1.8,45.6,12,119,4.7,9.3,0.3,2.7,0.4,0.8,0.3,40 573.80,10.6,80.7,0.1,4,0.1,899.3,2 135.70,2.2,113.9,38.8,6.7,303.4,0,74 904.40,8.4,7.1,4.8,-374.9,154.1,33.7,1 227.40,-3 573.40
"TTL_05T06: Mining and quarrying, energy producing products",,1 864.50,103.3,86 276.40,4 924.30,205.6,4 328.90,4 582.90,458.8,6 096.20,381 512.90,94 591.80,651.7,5 125.90,52 069.00,52 260.60,3 742.90,99.6,569.1,4 547.80,1 893.90,699.3,246.8,224 385.10,1 193.90,1 405.00,516,150.9,92.7,65.2,304.2,52.8,987.4,10.7,587.2,1 408.20,332.7,75,349.1,433.8,808.7,791.6,303.5,55.8,510.2,0,4 586.80,0.1,5.4,19.9,-894.6,111.3,0,19 736.30,-342 714.90
"TTL_07T08: Mining and quarrying, non-energy producing products",,25.4,3.2,381.3,22 896.70,144.6,108.2,45.6,12.7,1 081.20,309.4,20 211.00,226.5,974.9,78 791.20,197 979.80,4 917.00,360,3 274.30,3 442.30,1 015.90,180.5,188.9,384.4,191.4,35 216.50,335.1,118.8,2.9,158.3,63.6,289,9,1.8,0.5,0.6,140.3,0.9,202,490.6,26.4,5.1,3.2,7.7,12,0,1 933.50,0,2.8,11,3 264.50,54,0,4 758.00,-68 484.90
TTL_09: Mining support service activities,,1.6,0.1,27 516.10,616.7,82.6,224.2,0.9,0.5,0.5,9.3,3.5,0.5,0.9,1.5,7.9,1.6,1.9,1.2,1.9,1,0.3,0.5,74,0.2,5.5,0.9,0.6,0.2,0.1,0.2,0.1,0.5,0.1,0.2,0.2,0.1,0.1,0.7,0.6,0.3,0.2,0.4,0.1,0.1,0,3.5,0,1.3,4.5,14,7.1,0,481.9,-340.2
"TTL_10T12: Food products, beverages and tobacco",,186 038.50,27 572.00,1 438.50,3 446.10,28.8,299 928.00,17 111.00,1 506.70,1 936.30,2 356.50,31 775.90,7 914.00,1 280.10,2 610.50,16 174.20,5 637.00,13 040.70,6 756.50,12 032.60,3 532.10,2 238.50,1 562.70,9 755.20,4 504.20,7 807.60,16 304.10,4 123.00,92,6 141.00,2 313.40,1 476.40,162 513.60,1 598.50,3 740.30,1 661.20,1 730.30,4 644.20,8 968.00,20 445.80,7 165.40,13 589.00,4 628.30,8 115.40,6 032.00,0,773 594.60,314.5,31.5,154.2,14 487.20,7 939.60,2 124.20,55 266.50,-73 900.60
"TTL_13T15: Textiles, textile products, leather and footwear",,1 032.30,51.8,6 092.10,2 120.80,809.9,8 491.90,739 604.60,1 554.50,11 884.80,711.9,8 338.10,7 934.00,8 619.90,8 286.70,2 663.20,4 889.50,6 192.30,5 577.40,6 985.90,11 985.80,3 051.20,31 245.80,1 843.90,6 382.60,7 703.00,12 534.00,5 357.10,307.3,1 391.00,1 549.80,2 695.20,8 302.10,4 252.00,1 810.20,141.7,3 920.50,2 611.70,7 609.80,30 486.80,32 069.90,2 900.10,6 808.60,4 818.60,3 989.30,0,236 890.40,114.4,6.5,70.7,14 157.00,4 549.90,1 517.80,275 126.00,-48 113.10
TTL_16: Wood and products of wood and cork,,61.6,15.7,7 627.90,864,9.7,1 125.00,1 245.00,69 439.40,5 734.50,61.4,1 819.50,136.4,1 225.50,2 905.80,385.4,6 090.10,1 341.60,1 238.50,2 027.40,1 032.90,214.9,48 319.00,171,488.8,76 831.20,375.3,159.4,5.8,10.2,71.1,17.1,60.9,4.4,48.5,1.6,7.1,2.2,17.6,16.2,52.8,145.9,46.6,436.9,10.2,0,4 797.60,2.8,2.2,61,161.9,381.4,75.8,12 184.60,-12 256.00
TTL_17T18: Paper products and printing,,562.2,160.7,119.9,848.6,40,25 290.00,5 945.40,2 036.80,145 107.60,99,6 765.40,6 099.20,3 538.10,14 332.00,802,2 679.80,8 061.00,8 283.80,5 036.50,1 714.70,410.7,12 594.40,152.7,532.2,3 401.90,26 773.60,491.5,9.4,163.5,346.2,6 332.00,2 865.70,9 592.90,1 739.70,11 336.00,7 724.90,4 514.80,40 016.70,44 895.50,14 204.10,10 952.20,79.3,839.1,1 184.80,0,33 312.30,30.2,10,6 841.30,5 622.20,983.3,213.4,12 430.60,-22 505.00
TTL_19: Coke and refined petroleum products,,12 409.00,4 313.30,4 989.90,25 645.30,1 736.90,2 004.50,2 380.10,1 205.90,1 221.40,20 786.10,100 773.70,741.5,4 912.00,30 721.90,87 461.90,5 033.40,2 017.20,1 746.20,5 266.00,1 948.90,909.5,1 775.20,16 988.20,2 710.90,46 809.90,10 336.30,74 046.60,33 814.20,19 994.70,27 571.10,3 086.20,1 747.10,349.1,926.2,250.8,1 589.70,1 673.90,11 606.70,16 798.50,4 030.40,2 950.50,292.3,400.2,1 467.60,0,53 113.60,55.8,41.6,90.5,8 894.20,3 694.40,737.2,32 088.60,-52 044.60
