To industry / sector,,"D01T02: Agriculture, hunting, forestry",D03: Fishing and aquaculture,"D05T06: Mining and quarrying, energy producing products","D07T08: Mining and quarrying, non-energy producing products",D09: Mining support service activities,"D10T12: Food products, beverages and tobacco","D13T15: Textiles, textile products, leather and footwear",D16: Wood and products of wood and cork,D17T18: Paper products and printing,D19: Coke and refined petroleum products,D20: Chemical and chemical products,"D21: Pharmaceuticals, medicinal chemical and botanical products",D22: Rubber and plastics products,D23: Other non-metallic mineral products,D24: Basic metals,D25: Fabricated metal products,"D26: Computer, electronic and optical equipment",D27: Electrical equipment,"D28: Machinery and equipment, nec","D29: Motor vehicles, trailers and semi-trailers",D30: Other transport equipment,D31T33: Manufacturing nec; repair and installation of machinery and equipment,"D35: Electricity, gas, steam and air conditioning supply","D36T39: Water supply; sewerage, waste management and remediation activities",D41T43: Construction,D45T47: Wholesale and retail trade; repair of motor vehicles,D49: Land transport and transport via pipelines,D50: Water transport,D51: Air transport,D52: Warehousing and support activities for transportation,D53: Postal and courier activities,D55T56: Accommodation and food service activities,"D58T60: Publishing, audiovisual and broadcasting activities",D61: Telecommunications,D62T63: IT and other information services,D64T66: Financial and insurance activities,D68: Real estate activities,"D69T75: Professional, scientific and technical activities",D77T82: Administrative and support services,D84: Public administration and defence; compulsory social security,D85: Education,D86T88: Human health and social work activities,"D90T93: Arts, entertainment and recreation",D94T96: Other service activities,D97T98: Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,HFCE: Final consumption expenditure of households,NPISH: Final consumption expenditure of non-profit institutions serving households,GGFC: Final consumption expenditure of general government,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),IMPO: Imports (cross border)
From industry / sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TTL_01T02: Agriculture, hunting, forestry",,"236,868.600 ","7,606.500 ",343.400 ,162.100 ,31.400 ,"495,240.100 ","122,892.600 ","39,818.200 ","22,728.800 ",26.500 ,"21,767.600 ","47,774.700 ","16,440.400 ",422.400 ,221.300 ,419.400 ,32.300 ,58.500 ,291.100 ,46.000 ,15.700 ,"7,343.300 ",96.400 ,332.200 ,"28,696.400 ",514.600 ,"1,142.100 ",22.300 ,393.200 ,"10,361.500 ",47.300 ,"24,273.000 ",55.400 ,"1,678.600 ",9.600 ,10.800 ,274.200 ,"5,306.000 ","2,864.100 ",17.200 ,"2,584.400 ","1,105.600 ","6,569.000 ",880.100 ,0.000 ,"282,176.800 ",80.000 ,"40,867.600 ","52,971.800 ",82.700 ,971.600 ,605.200 ,"12,050.500 ","-71,159.500 "
TTL_03: Fishing and aquaculture,,"2,214.700 ","25,075.500 ",0.300 ,3.000 ,3.200 ,"53,202.500 ",527.600 ,343.600 ,295.700 ,1.500 ,"1,733.700 ",80.600 ,24.900 ,15.700 ,27.200 ,0.200 ,0.800 ,0.400 ,31.500 ,5.900 ,1.100 ,105.800 ,5.200 ,317.100 ,6.000 ,55.700 ,0.600 ,257.500 ,0.300 ,2.500 ,72.400 ,"22,988.400 ",7.600 ,146.700 ,0.200 ,0.900 ,0.100 ,"1,351.000 ",425.900 ,1.600 ,516.900 ,49.100 ,201.500 ,93.200 ,0.000 ,"49,235.700 ",5.600 ,9.600 ,9.900 ,5.600 ,77.500 ,41.000 ,"1,126.800 ","-2,035.700 "
"TTL_05T06: Mining and quarrying, energy producing products",,342.900 ,34.700 ,"47,754.100 ","2,168.200 ",375.800 ,"2,847.600 ","3,051.300 ",572.100 ,"4,150.200 ","294,945.200 ","66,611.900 ",448.300 ,"2,115.800 ","38,139.900 ","38,607.000 ","2,816.500 ",38.900 ,725.300 ,"2,903.500 ",685.200 ,308.600 ,817.600 ,"182,713.800 ","1,281.500 ","1,109.400 ",265.200 ,"4,670.900 ",246.200 ,133.500 ,92.800 ,85.700 ,676.300 ,56.500 ,503.400 ,"1,107.000 ",575.300 ,77.400 ,358.100 ,263.100 ,728.800 ,541.300 ,404.900 ,123.900 ,309.100 ,0.000 ,"4,846.000 ",0.300 ,12.500 ,28.100 ,-5.500 ,56.300 ,0.000 ,"3,174.500 ","-222,152.400 "
"TTL_07T08: Mining and quarrying, non-energy producing products",,22.000 ,3.300 ,"15,597.800 ","26,309.700 ",39.500 ,365.400 ,19.800 ,41.900 ,196.400 ,69.600 ,"20,805.100 ",396.700 ,638.100 ,"67,609.300 ","254,781.200 ","4,316.600 ",255.100 ,"1,892.800 ",847.300 ,193.000 ,34.200 ,458.300 ,404.000 ,368.700 ,"22,021.200 ",399.800 ,26.700 ,1.200 ,1.900 ,3.600 ,173.300 ,4.200 ,1.000 ,0.600 ,1.100 ,92.400 ,311.800 ,196.100 ,455.300 ,1.700 ,1.400 ,2.500 ,4.200 ,10.200 ,0.000 ,"1,159.500 ",0.000 ,4.100 ,9.400 ,11.300 ,22.400 ,0.000 ,"2,596.900 ","-135,559.800 "
TTL_09: Mining support service activities,,3.100 ,0.100 ,"20,519.300 ",540.600 ,69.700 ,324.500 ,1.700 ,0.700 ,1.000 ,4.900 ,8.800 ,0.600 ,2.600 ,4.700 ,14.800 ,1.600 ,2.500 ,2.200 ,2.600 ,1.200 ,0.400 ,0.600 ,132.600 ,0.300 ,7.200 ,1.500 ,1.500 ,0.200 ,0.100 ,0.300 ,0.100 ,0.400 ,0.100 ,0.300 ,0.400 ,0.400 ,0.300 ,1.400 ,0.600 ,0.400 ,0.300 ,0.400 ,0.100 ,0.200 ,0.000 ,3.900 ,0.000 ,3.100 ,4.500 ,9.800 ,5.200 ,0.000 ,398.600 ,-360.700 
"TTL_10T12: Food products, beverages and tobacco",,"172,463.700 ","18,592.000 ","2,695.800 ","2,436.600 ",12.300 ,"327,274.400 ","19,659.200 ","1,064.800 ","2,502.800 ","2,350.300 ","42,297.500 ","7,347.200 ","2,087.500 ","5,426.700 ","8,909.100 ","3,833.700 ","6,073.200 ","4,721.800 ","7,190.700 ","1,988.400 ",863.600 ,"1,666.300 ","3,483.800 ","2,699.900 ","9,866.600 ","8,483.600 ","4,948.300 ","1,611.600 ","4,446.000 ","3,455.800 ",849.500 ,"113,024.000 ","1,958.700 ","5,094.500 ","1,328.100 ","2,105.200 ","4,481.500 ","8,082.200 ","10,545.800 ","10,784.800 ","11,147.000 ","5,287.100 ","4,880.100 ","5,238.700 ",0.000 ,"597,462.400 ",269.100 ,34.400 ,116.100 ,"31,473.900 ","3,900.700 ","2,570.000 ","43,980.300 ","-49,925.700 "
"TTL_13T15: Textiles, textile products, leather and footwear",,960.800 ,13.900 ,"1,843.200 ","1,245.600 ",157.800 ,"2,755.000 ","497,732.300 ","1,055.900 ","4,935.300 ",277.900 ,"8,429.100 ","5,382.500 ","20,322.400 ","9,793.600 ","3,158.700 ","3,602.200 ","1,520.400 ","3,580.600 ","6,323.700 ","14,433.000 ","1,166.500 ","22,494.200 ",716.600 ,"2,796.500 ","16,241.300 ","2,988.300 ","2,864.900 ",43.400 ,676.300 ,"1,525.300 ",441.300 ,"4,160.300 ","5,217.500 ",944.200 ,53.100 ,"3,455.800 ","2,671.700 ","4,245.400 ","9,406.600 ","23,795.600 ","1,356.500 ","5,920.000 ","2,370.300 ","1,915.100 ",0.000 ,"199,914.300 ",76.500 ,8.000 ,51.800 ,"11,855.500 ","2,054.600 ","1,834.500 ","269,061.000 ","-30,741.100 "
TTL_16: Wood and products of wood and cork,,138.700 ,35.500 ,"6,056.400 ",461.600 ,6.200 ,568.100 ,"1,175.800 ","65,528.800 ","4,313.900 ",55.200 ,"1,147.300 ",34.100 ,"1,073.200 ","3,927.800 ","1,270.800 ","4,998.200 ",729.300 ,"1,451.700 ","4,702.100 ",903.000 ,448.000 ,"28,411.400 ",14.100 ,418.800 ,"69,484.300 ",110.100 ,139.300 ,12.000 ,1.200 ,12.100 ,154.700 ,119.900 ,17.200 ,3.400 ,3.300 ,25.200 ,11.500 ,56.400 ,62.300 ,65.900 ,5.700 ,5.100 ,256.700 ,45.700 ,0.000 ,"4,172.300 ",2.300 ,2.500 ,53.000 ,217.400 ,179.900 ,90.400 ,"11,750.500 ","-7,924.500 "
TTL_17T18: Paper products and printing,,222.400 ,61.700 ,200.500 ,450.200 ,12.500 ,"16,191.800 ","4,303.300 ","1,376.000 ","110,521.900 ",81.800 ,"5,167.200 ","2,911.300 ","2,459.200 ","12,416.300 ",772.800 ,"2,288.900 ","7,086.400 ","7,575.200 ","5,008.700 ","1,322.700 ",303.200 ,"6,603.900 ",790.400 ,543.700 ,"2,598.000 ","24,333.800 ",912.800 ,17.200 ,102.900 ,238.800 ,"2,217.700 ",909.700 ,"9,741.300 ","2,287.800 ","20,104.500 ","11,281.500 ","3,164.100 ","29,550.500 ","20,642.700 ","12,336.900 ","6,447.800 ",493.100 ,446.600 ,"1,260.400 ",0.000 ,"9,907.700 ",21.200 ,17.100 ,"4,258.700 ",663.100 ,462.700 ,251.600 ,"9,671.900 ","-14,246.400 "
